"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
TSPAN6,774.876174234694,-0.201420989625949,0.179880860807421,-1.11974664075901,0.26282174347872,0.67262818112496
DPM1,1841.29808071267,0.186188562083713,0.116770425457233,1.59448388883282,0.11082769645042,0.457561680110128
SCYL3,396.306618108844,-0.0136628435867583,0.175996618977704,-0.0776312844310331,0.938121356091114,0.996605125920352
C1orf112,893.487570549897,-0.0342334705023788,0.105392574949114,-0.324818617619957,0.745318353118503,0.946227463958302
CFH,375.680026295331,-2.16703049802962,1.48351092707289,-1.46074454760194,0.14408555881925,0.515917792863978
FUCA2,3563.48939359438,-0.0239174661806522,0.136674460842819,-0.174995869990358,0.86108287878228,0.97936706526456
GCLC,2552.96123522892,-0.184779877450538,0.123512040572636,-1.49604748325627,0.13464128185927,0.499630358081377
NFYA,1682.20913862192,-0.0584480361418749,0.106586604888081,-0.548361927873083,0.5834434128839,0.885563463108092
STPG1,374.958967775233,0.107270071036773,0.158706630186889,0.675901636311316,0.499103098765137,0.844654134953518
NIPAL3,1177.34539380614,-0.236749554670367,0.128241044410483,-1.84612933993708,0.0648734276306769,0.341652742989173
LAS1L,3048.33007719572,-0.00612343686952217,0.0676030797366034,-0.0905792590127615,0.927826913082067,0.994885184137899
ENPP4,572.19638376038,-0.151768667244778,0.150176606595801,-1.01060125598165,0.312207314447135,0.720662363854948
SEMA3F,436.770763318393,-0.381164261728195,0.165067903403248,-2.30913614257909,0.0209360277226095,0.172323309909651
ANKIB1,2031.39463165934,0.034408853036359,0.10346678741024,0.332559402853881,0.739466892423248,0.944196211715281
CYP51A1,3044.76163545859,-0.142327684989131,0.061116160842888,-2.32880604779829,0.0198693428805118,0.166603231907828
KRIT1,1076.77729768378,-0.104318488267159,0.15812200898362,-0.659734144144129,0.509424451351648,0.850655228168674
RAD52,451.004261371762,0.0652021757355006,0.210353459092463,0.309964837359011,0.756587696027306,0.950080388531908
MYH16,17.6262980254656,1.92694783603388,1.11486079416273,1.72842012753802,0.0839129295097625,0.398274722437713
BAD,1345.36118482961,0.149089674925065,0.136878674024595,1.08921039736457,0.276061114921592,0.685586516402166
LAP3,2383.02692238816,0.00711772558048062,0.0650845281271566,0.10936125351596,0.912915964585955,0.991761294607775
CD99,3336.38651380556,0.0665848944121146,0.164872275806915,0.403857435012866,0.686317558338575,0.925779899799521
HS3ST1,157.392500293436,1.86798771847127,1.75381884829988,1.06509729912075,0.286831901379616,0.695998307530099
AOC1,26.789395575601,-0.946781816847883,0.605702134693108,-1.5631145452832,0.118025655019375,0.471025360091795
HECW1,367.188746055348,0.379880564750605,0.231965321677339,1.63766101761975,0.101492426794882,0.438528497264845
MAD1L1,1659.38745680224,-0.054298182294883,0.176719397369266,-0.307256493079951,0.758648148448297,0.950904455099817
LASP1,34296.5752752987,-0.117241987417588,0.115645922480683,-1.01380130749678,0.310677571292369,0.720227184864646
SNX11,830.49252799205,-0.00426858141698357,0.112687747525593,-0.0378797297018837,0.969783574802983,1
M6PR,5825.79087419311,-0.052573951473729,0.0465947737778552,-1.12832292575086,0.259183564802054,0.668833131741245
KLHL13,152.279254959806,-0.266375314457005,0.331586099712008,-0.803336794541024,0.421780096455448,0.802164141635498
CYP26B1,404.84754467821,-0.24004341136554,0.262024572667955,-0.916110305691558,0.359609043043192,0.762767219122334
ICA1,197.089257444261,0.473683640507098,0.405575650286913,1.16792918946688,0.242835328849195,0.651790528564084
DBNDD1,379.054078619749,-0.248692688126233,0.114629403212068,-2.16953662112455,0.0300419672004267,0.216987246576169
ALS2,1973.82645578568,-0.210406034128822,0.110650243687591,-1.90154153408719,0.0572311176494997,0.319521098132227
CASP10,192.772731501532,-0.156985238968,0.335034600897776,-0.468564257385159,0.639381130628807,0.906821737974481
CFLAR,2761.27319617421,-0.202638020788695,0.102593570201392,-1.97515322247694,0.0482507625220111,0.288908289823678
TFPI,3643.27926229672,0.139587017938761,0.302833733874738,0.460936158441643,0.644844408910148,0.909091918183323
NDUFAF7,683.836952423686,0.0853528465594554,0.184150148118711,0.463495943019462,0.643008922170498,0.908656861717682
RBM5,3208.52188893078,-0.357562633624559,0.114443971350795,-3.12434660737657,0.00178200407498186,0.0301661822966949
MTMR7,70.8390437590076,-0.692315448163508,0.422732458659093,-1.63771537761622,0.101481081241944,0.438528497264845
SLC7A2,1940.68180859769,-0.175347424451602,0.160038280799328,-1.09565926087066,0.273227917317489,0.683517696387891
ARF5,1749.66405098133,-0.0251390398017618,0.145679326107048,-0.17256422358303,0.862993975390827,0.979852618711214
SARM1,385.869137586356,-0.318342127398618,0.414191542515608,-0.768586740002354,0.442138679717172,0.815370858069101
POLDIP2,4680.35194483079,-0.070520671948412,0.120405185621323,-0.585694640845463,0.558080736108302,0.872527001065445
PLXND1,3118.1442098658,-0.284071086584638,0.139169465576061,-2.04118831245625,0.0412321129718822,0.262955563588379
AK2,7265.04627535989,0.0787068490103737,0.0823613194482615,0.955628801695151,0.339259804935776,0.745990793430197
FKBP4,8950.44220957362,-0.0257830791927202,0.0687436945842176,-0.375061005211663,0.707615096976124,0.932248641604315
KDM1A,4657.81944878742,-0.058759440580833,0.0944528107157913,-0.622103674157885,0.533873699190035,0.862770410422502
RBM6,2256.53573822625,0.131976236551212,0.104890028971623,1.25823434167339,0.208307018647431,0.613988118556432
CAMKK1,887.489373570716,0.233874317040582,0.0956404624571531,2.44534908167511,0.0144711999356636,0.135540857495633
RECQL,2253.07833273721,0.0985390958925464,0.0858816495912212,1.14738243107313,0.251223599083386,0.661313162638477
